periodo,so_tipo,so_nombre,preg_1,preg_2,preg_3,preg_4,preg_5,preg_6,preg_7,preg_8,preg_9,preg_10,preg_11,preg_12,preg_13,preg_14,preg_15,preg_16,preg_17,preg_18,preg_19,preg_20,cant_item_TA,cant_item_TP,pondera_ta_subindice,pondera_tp_subindice_a,pondera_tp_subindice_b,pondera_ta_indice,pondera_tp_indice_a,pondera_tp_indice_b,TA,TP,IT
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Casa de Moneda S.E.,1,1,1,0.9166666666666666,0.5,0.8333333333333334,0.5,0,0.8333333333333334,0,1,0,0,0,0.8333333333333334,0,0,0,0.5,0,11,5,0.09090909090909091,0.1,0.5,0.08181818181818182,0.01,0.05,68.93939393939394,13.333333333333336,63.37878787878787
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Biblioteca Nacional Mariano Moreno,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,10.256410256410255,33.33333333333333,12.564102564102564
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Banco de la Nación Argentina,0,0.3333333333333333,0.9166666666666666,0,0.5,0,0.5,0,0.8333333333333334,0.5833333333333334,1,0,0,0,0.8333333333333334,0,0,0.3333333333333333,0.5,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,35.8974358974359,16.666666666666668,33.97435897435898
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Administración Nacional de Aviación Civil,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.5,0.6666666666666666,0.8333333333333334,0,1,0.5,0.5,0,0,0,0,0,0.6666666666666666,0,0,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,59.02777777777777,38.888888888888886,57.01388888888887
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional Central Único Coordinador de Ablación e Implante,0.3333333333333333,0,0.5,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,0,1,0.5833333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0.3333333333333333,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,46.794871794871796,16.666666666666664,43.78205128205129
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Agencia Nacional de Seguridad Vial,0.6666666666666666,0.6666666666666666,1,0.8333333333333334,1,1,0.8333333333333334,0,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0.6666666666666666,0,0.8333333333333334,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,72.22222222222221,45.83333333333333,69.58333333333333
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Corporación Antiguo Puerto Madero S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,0,0,0
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Agencia de Administración de Bienes del Estado,0,0.5,0,0,0.5,0.6666666666666666,0.6666666666666666,0,0.8333333333333334,0.4166666666666667,0.5,0,0,0,1,0,0,0,0,0,11,6,0.09090909090909091,0.08333333333333333,0.5,0.08181818181818182,0.008333333333333333,0.05,37.121212121212125,8.333333333333332,34.24242424242425
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Corporación del Mercado Central de Bs. As.,0.6666666666666666,0.5,0.4166666666666667,0,0,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,18.58974358974359,33.33333333333333,20.064102564102566
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Comisión Nacional de Actividades Espaciales,0.6666666666666666,0.5,0.75,0.8333333333333334,0.5,0.5,0.8333333333333334,0,1,0,0.8333333333333334,0,0,0,0,0.8333333333333334,0,0,0,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,53.47222222222222,40.27777777777778,52.15277777777778
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Corporación Interestadual Pulmarí,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,5.128205128205128,16.666666666666664,6.282051282051282
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Banco Hipotecario S.A.,0,0.6666666666666666,0.25,0,0,0,0.6666666666666666,0,0,0.6666666666666666,0,0,0,0,0.5,0,0,0,0.8333333333333334,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,17.307692307692307,13.333333333333336,16.910256410256412
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nación Bursátil S.A.,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0,0.3333333333333333,0,0,0.3333333333333333,0.16666666666666666,0,0,0,0.5,0,0,0,0.5,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,16.666666666666664,10,16.000000000000004
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Archivo Nacional de la Memoria,0.6666666666666666,0.6666666666666666,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,13.461538461538462,33.33333333333333,15.448717948717949
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Geográfico Nacional,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,25.64102564102564,0,23.076923076923077
2° Trimestre 2024 (Abril - Junio),Universidades,Universidad Nacional del Sur,0,0.6666666666666666,0.4166666666666667,0,0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0.6666666666666666,0,0,0,0.8333333333333334,0,1,0.6666666666666666,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,41.66666666666667,51.66666666666666,42.66666666666667
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Comisión Nacional de Comercio Exterior,1,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.5,1,0.8333333333333334,0,1,0.8333333333333334,1,1,0,1,0,0,0,0,0.5,0.6666666666666666,11,6,0.09090909090909091,0.08333333333333333,0.5,0.08181818181818182,0.008333333333333333,0.05,87.12121212121214,45.83333333333333,82.99242424242424
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nación Seguros de Retiros S.A.,0.6666666666666666,0.6666666666666666,0.5,0,0.5,0,0,0,0.6666666666666666,0,0.6666666666666666,0,0,0,0.6666666666666666,0,0,0,0,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,28.205128205128204,6.666666666666667,26.051282051282048
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nación ReaSeguros S.A.,0.6666666666666666,0.5,0.5833333333333334,0.16666666666666666,0.5,0,0,0,0,0,0.6666666666666666,0,0,0,0.6666666666666666,0,0,0,0,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,23.717948717948723,6.666666666666667,22.012820512820515
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Correo Argentino S.A.,0.6666666666666666,0.6666666666666666,1,0.8333333333333334,0,1,0.6666666666666666,0.5,1,0.8333333333333334,0.8333333333333334,0,0,0,1,0,1,1,1,0,12,5,0.08333333333333333,0.1,0.5,0.075,0.01,0.05,66.66666666666666,40,64
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares,0.6666666666666666,0.6666666666666666,0.9166666666666666,1,0.5,1,0.8333333333333334,0,1,0.8333333333333334,1,0,0,0,0,0.8333333333333334,0,0.6666666666666666,1,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,70.1388888888889,20.833333333333332,65.20833333333333
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",0,1,1,1,0.5,0.5,0.5,0,1,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,52.77777777777778,0,47.49999999999999
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nucleoeléctrica Argentina S.A.,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.75,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0.5,0,0,0,1,1,0,1,0.6666666666666666,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,58.97435897435898,36.66666666666667,56.74358974358975
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nación Servicios S.A.,0.3333333333333333,1,0.08333333333333333,0.5,0.5,0.6666666666666666,0,0,0.6666666666666666,0,0.6666666666666666,0,0,0,0.5,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,33.97435897435897,4.166666666666666,30.993589743589745
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,DIOXITEK S.A.,0,0.3333333333333333,0,0.5833333333333334,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0.6666666666666666,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,22.435897435897438,5.555555555555555,20.74786324786325
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Nación Seguros S.A.,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.5,1,0.5,0,0.8333333333333334,0,0.8333333333333334,0,0,0,0.6666666666666666,0,0,0,0,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,45.512820512820504,6.666666666666667,41.628205128205124
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Comisión Nacional de Valores,0.6666666666666666,1,0.6666666666666666,0.75,0.5,1,0.8333333333333334,0,0.8333333333333334,0.5833333333333334,0.8333333333333334,1,0.6666666666666666,0,0,0,0,0,0.8333333333333334,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,77.77777777777779,40.27777777777778,74.02777777777777
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Pellegrini S.A.,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.16666666666666666,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.5,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,14.743589743589745,11.666666666666666,14.435897435897438
